company,role,title,department,location,posting_date,remote_status,employment_type,apply_url,required_skills,description
PPG,Resources to support you,Resources to support you,"s in writing job postings, reviewing and screening applications, as well as managing interview logistics","Search Use of AI in Hiring As part of our hiring process, we may use AI-enabled tools to support our hiring teams in writing job postings, reviewing and screening applications, as well as managing interview logistics",,,,https://careers.ppg.com/us/en/candidate-resources,"The PPG's notice regarding the collection of personal information from interested candidates is available in the Global Candidate Data Privacy Statement., Discover multiple ways to apply for roles at PPG, 1. Online application, We offer several ways to apply for jobs at PPG, Browse Jobs: Visit the Browse Jobs page to explore opportunities in the many countries where PPG operates., Recruiting AI Assistant: Use our chatbot to search for jobs and apply., After you click Apply Now or I’m Interested, you’ll complete a Quick Apply form to provide your contact information, resume/CV, and answer a few questions., Important: Quick Apply does not constitute a full job application. If you move forward in the process, you’ll be asked to complete the full application on the PPG Careers site., You can track your application status anytime by logging into your secure Candidate Home account. You’ll receive a link to create this account after submitting your application. Once created, you can log in here., 2. Job alert emails","© 2025 PPG Industries, Inc. All Rights Reserved."
PPG,Commercieel medewerker buitendienst,Commercieel medewerker buitendienst,,"s Almere, Flevoland, Netherlands Amersfoort, Utrecht, Netherlands Apply Now Save job Ben jij een gedreven salesprofessional met een passie voor klantrelaties en het behalen van doelen",,,Full Time,https://careers.ppg.com/us/en/job/JR2423733/Commercieel-medewerker-buitendienst,"Our employee benefits programs are designed to support the health and well-being of our employees. Any insurance coverages and benefits will be in accordance with the terms and conditions of the applicable plans and associated governing plan documents., Explore Location, Apply Now, Save job, Get notified for similar jobs, Sign up to receive job alerts, Enter Email address (Required), By checking this box, I consent to receive transactional and marketing text messages regarding employment opportunities., I have read and accept the privacy policy and terms of use. *, By checking this box, I agree to receive emails from PPG about employment opportunities. *","Ben jij een gedreven salesprofessional met een passie voor klantrelaties en het behalen van doelen? Wij zijn op zoek naar een enthousiaste Commercieel Medewerker Buitendienst die verantwoordelijk is voor het promoten en verkopen van onze producten en diensten binnen een toegewezen geografisch gebied, productassortiment of klantenlijst."
PPG,Sr Formulator,Sr Formulator,with high levels of efficiency in the launching of new products in the line of our customers,San Juan del R,,,Full Time,https://careers.ppg.com/us/en/job/JR2424346/Sr-Formulator,"+ 4 years of experience in research and development in Coatings., Fluent English., Quality tools., Knowledge of the physical-chemical characteristics of Solvents, Resins, Pigments and Additives used in the formulation of coatings., This job posting may have multiple locations listed. A successful candidate may work remotely and not be offered to relocate.","As a SENIOR COATINGS FORMULATOR you will, develop coating formulations, ensuring product through Quality and Cost."
PPG,Customer Service Executive,Customer Service Executive,with logistic arrangement and after sales administration,"Petaling Jaya, Selangor, Malaysia Category Sales",,Onsite,Full Time,https://careers.ppg.com/us/en/job/JR2427517/Customer-Service-Executive,"Able to work independently with minimum supervision, Able to handle stress and work under tight date line., Highly committed to work has been assigned.","As the Customer Service Executive, you will need to ensure customer orders are processed on time and in full, according to purchase orders requirements. Working with sales/ commercial team with logistic arrangement and after sales administration. Attempt to all IC customer enquiries and claims, resolve in prompt manners. You will be reporting directly to Regional Customer Experience Manager and you will work onsite at PJ Plant."
PPG,Students & graduates,Students & graduates,"s, contribute to local communities through our Colorful Communities",Search Start your career at PPG,,,Internship,https://careers.ppg.com/us/en/students-graduates,"Our programs offer opportunities to engage with our leadership teams, contribute to local communities through our Colorful Communities® initiative, and participate in events hosted by our Employee Resource Networks. ​​​​​​​, Our Programs, Click to view opportunties and apply, Internships, Across the Americas, Europe, and Asia Pacific, we seek students who demonstrate academic ability, leadership potential, community service, and effective communication skills., Our internship programs span commercial, manufacturing, IT & digital, engineering, product research & development, marketing, supply chain, finance, and many other areas., Interns are given challenging work projects designed to provide exposure to different opportunities and stretch academic knowledge., These opportunities typically run for 10-12 weeks, with specific durations varying by program location., Recent Graduates, Join one of our business-aligned development programs to assume real responsibilities, learn from our experienced professionals and gain work experience.","© 2025 PPG Industries, Inc. All Rights Reserved."
