company,role,title,department,location,posting_date,remote_status,employment_type,apply_url,required_skills,description
JPMorgan,"Vice President, APAC Firmwide Chief Data Office","Vice President, APAC Firmwide Chief Data Office","Commercial & Investment Bank Posting Date 06/01/2026, 02","s 77 Hoi Bun Road, Hong Kong, K, 999077, HK Job Schedule Full time Job Shift Day JOB DESCRIPTION Job responsibilities Own APAC governance delivery",on 06,,Full Time,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210748596,"Bachelor’s degree (Finance, Technology, Data, or related field)., 10+ years’ experience in data governance, data management, risk/controls, technology, or regulatory delivery within a leading financial institution., Strong track record leading cross-functional programs with senior stakeholders; able to drive decisions and execution in complex environments., Strong understanding of data governance disciplines (data quality, controls, privacy, metadata/lineage, stewardship, ownership)., Excellent executive communication (clear, concise, and outcome-focused)., Strong analytical/problem-solving skills; high tolerance for ambiguity and ability to operate independently.","Required qualifications, capabilities, and skills"
JPMorgan,"Senior Lead Architect, Product Architecture","Senior Lead Architect, Product Architecture","Consumer & Community Banking Posting Date 06/01/2026, 03","s 1111 Polaris Pkwy, Columbus, OH, 43240, US 8181 Communications Pkwy Bldg F, Plano, TX, 75024, US Job Schedule Full time Job Shift Day JOB DESCRIPTION If you are excited about shaping the future of technology and driving significant business impact in financial services, we are looking for people just like you",on 04,On-Site,Full Time,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210749025,"Formal training or certification on software engineering concepts and 5 + years applied experience, Hands-on practical experience delivering system design, application development, testing, and operational stability, Advanced in one or more programming language(s), applications, and architecture, Advanced knowledge of software architecture, applications, and technical processes with considerable in-depth knowledge in one or more technical disciplines (e.g., cloud, artificial intelligence, machine learning, mobile, etc.), Ability to tackle design and functionality problems independently with little to no oversight, Practical cloud native experience, Ability to evaluate current and emerging technologies to select or recommend the best solutions for the future state architecture, Adds to team culture of diversity, opportunity, inclusion, and respect","If you are excited about shaping the future of technology and driving significant business impact in financial services, we are looking for people just like you. Join our team and help us develop game-changing, high-quality solutions."
JPMorgan,"Lead Software Engineer - Python, Data, Cloud, AIML","Lead Software Engineer - Python, Data, Cloud, AIML","Commercial & Investment Bank Posting Date 06/01/2026, 01","s Block D, Parcel 8, Embassy Tech Village, Outer Ring Road, Devarabeesanahalli Village, Bengaluru, IN-KA, 560103, IN Apply Before 06/13/2026, 12",on 05,,Full Time,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210749213,"Formal training or certification on software engineering concepts and proficient applied experience, Hands-on practical experience in system design, application development, testing, and operational stability, Proficient in coding in one or more languages- Python, Familiarity with Cloud Data engineering services and MLOps/LLM technologies, Experience in developing, debugging, and maintaining code in a large corporate environment with one or more modern programming languages and database querying languages, Overall knowledge of the Software Development Life Cycle, Proven track record in system design, architecting and developing microservices, distributed systems and data-intensive applications, Experience with Cloud services, Infrastructure as Code, containerized application development, big data and modern data engineering technologies, Practical experience developing Production-scale Cloud-native data engineering solutions in commercial environments, Ability to convey design choices and results clearly and communicate effectively to stakeholders of various backgrounds",We have an exciting and rewarding opportunity for you to take your software engineering career to the next level.
JPMorgan,"Product Manager - Kinexys Payments, Vice President","Product Manager - Kinexys Payments, Vice President","Commercial & Investment Bank Posting Date 06/01/2026, 11","s CapitaSpring 88 Market Street, Singapore, 048948, SG Job Schedule Full time JOB DESCRIPTION As a Product Manager, you will be responsible for driving product strategy, development, and execution of Kinexys Payments products",on 05,,Full Time,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210750232,"Minimum 5 years of experience in product management, payments, financial services, or enterprise fintech, Bachelor's degree in Finance or equivalent discipline, Demonstrated experience in payments, cash management, Transaction Banking, or digital financial solutions, Strong stakeholder management and communication skills with the ability to influence and align cross-functional teams, Strategic mindset with the ability to connect market opportunities to product execution and client outcomes, Proven ability to operate in a fast-paced, ambiguous environment with a high degree of ownership and accountability, Execution-driven, with a track record of delivering complex products in highly cross-functional settings","As a Product Manager, you will be responsible for driving product strategy, development, and execution of Kinexys Payments products. You will work closely within a global, cross-functional team across Product, Technology, Operations, Legal, Compliance, and Sales. This role requires a strong balance of strategic thinking, execution discipline, and client-centric innovation."
JPMorgan,Global Technology Financial Planning & Analysis - Associate,Global Technology Financial Planning & Analysis - Associate,"Corporate Sector Posting Date 06/01/2026, 12","s 545 Washington Blvd, Jersey City, NJ, 07310, US Job Schedule Full time Job Shift Day Base Pay/Salary Jersey City,NJ",on 05,On-Site,Full Time,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210750492,"Bachelor’s degree in Finance, Accounting, Economics or IS (Information Systems), 2+ years of work experience with relevant Financial Planning & Analysis experience, Advanced skills in MS Excel, PowerPoint, Teams, and SharePoint., Strong analytical skills and proficiency with data mining/gathering and manipulation of data sets, Proven ability to act independently with excellent decision-making skills, Strong attention to detail with the ability to work well under pressure in a fast paced environment, handling multiple projects and initiatives simultaneously, and able to complete work within timely deadlines with a sense of urgency, Highly motivated self-starter with excellent time management/prioritization skills, Strong verbal and written communication skills with the ability to analyze data and present conclusions concisely, Ability to build strong partnerships with colleagues, desire to learn quickly, be flexible and think strategically, and interface with all levels in the organization from senior management to process participants, Be inquisitive, critical thinker who anticipates questions from internal clients and senior management","Join the Global Technology Planning and Analysis (GT P&A) team to support key strategic programs and provide financial oversight for the Global Technology organization’s ~68K+ resources and $19B+ spend. The GT P&A team is responsible for partnering across the firm to create a consolidated view of technology spend as well as provide financial and strategic analysis, oversight, and coordination of budgeting and forecasting. Our team is part of the Global Technology Finance & Business Management (GT F&BM) organization within Corporate Finance, and reports to the Global Technology CFO, with accountability to the Firmwide Head of P&A. We partner with multiple stakeholders including Line of Business (LOB) and Enterprise Technology (ET) CFO & P&A teams, Corporate and Firmwide P&A, as well as HR, Real Estate, GT Strategy and Vendor Management partners."
JPMorgan,Associate - US Payroll Ops,Associate - US Payroll Ops,"Corporate Sector Posting Date 06/01/2026, 01","s Nirlon Knowledge Park, Western Express Highway, Goregaon (East), Mumbai, IN-MH, 400063, IN Apply Before 06/15/2026, 12",on 01,,Full Time,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210750527,"Bachelor’s degree in business, Finance, Human Resources, or a related field., 10+ years of experience in payroll management or similar roles, including at least 2 years supporting process improvement or transformation initiatives., Strong knowledge of Oracle HCM Payroll or comparable payroll platforms., Demonstrated control mindset and experience supporting payroll compliance frameworks and audit readiness., High attention to detail with a strong commitment to data accuracy and confidentiality., Experience supporting payroll optimization/transformation in a large, complex organization., Strong communication skills and ability to collaborate effectively across functions., Ability to manage multiple priorities in a fast-paced environment., Experience driving automation and process improvement using Alteryx and PEGA.","Be part of a team where your payroll optimization and automation expertise drive meaningful, lasting change."
JPMorgan,Internal Audit - Senior Associate / Vice President,Internal Audit - Senior Associate / Vice President,"Corporate Sector Posting Date 06/01/2026, 02","s 6 route de Treves, Building H, Senningerberg, Luxembourg, L-2633, LU Job Schedule Full time JOB DESCRIPTION",,,Full Time,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210750532,"Proven experience in internal and/or external audit in Financial services (preferably Asset Management), or relevant business experience., Bachelor's degree (or relevant financial services experience) required, Experience with internal audit methodology and applying concepts in audit delivery and execution, Solid understanding of internal control concepts, with the ability to evaluate and determine the adequacy of controls by considering business and technology risks in an integrated manner, Excellent written, verbal, and presentation skills; adept at presenting complex and sensitive issues to senior management, Strong interpersonal and influencing skills, with the ability to establish credibility and build partnerships with senior business and control partners, Strong analytical skills, particularly in regard to assessing the probability and impact of an internal control weakness, Enthusiastic and self-motivated, with a keen interest in learning, collaboration, sharing knowledge; effective under pressure and willing to take personal responsibility/accountability, Flexible to changing business priorities and proven ability to multitask in a constantly changing environment, Experience and/or curiosity in applying / learning to regularly use analytical tools (e.g., Alteryx, Python, Excel) championing a culture of innovation","﻿As a Senior Auditor (Associate) or Audit Manager (Vice President), you will develop and execute the annual audit plan, manage audit engagements, perform and/or oversee audit testing, and participate in applicable control and governance forums, primarily aligned to the Asset Management business based in Luxembourg, it's branches and subsidiary in Europe."
JPMorgan,Legal Entity Risk Reporting Associate,Legal Entity Risk Reporting Associate,"Corporate Sector Posting Date 06/01/2026, 03","s Parcel 9, Embassy Tech Village, Outer Ring Road, Deverabeesanhalli Village, Varthur Hobli, Bengaluru, IN-KA, 560103, IN Job Schedule Full time Job Shift Mid-Day JOB DESCRIPTION Are you looking for an exciting opportunity to join a dynamic and growing team in a fast paced and challenging area",on 04,,Full Time,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210750854,"Proficiency using Microsoft products including Excel, VBA and Business intelligence tools like Alteryx, Tableau and scripting language like Python., Ability to work and solve problems independently, and be able to work in a fast paced, deadline oriented environment. Attention to detail, Strong organization and processing skills. Good written and verbal communication skills, Ability to improve current processes and achieve efficiencies, Team player who can interact at ease with colleagues of various levels. Bachelor’s degree required.",Are you looking for an exciting opportunity to join a dynamic and growing team in a fast paced and challenging area? This is a unique opportunity for you to work in our team to partner with the Business to provide a comprehensive view.
JPMorgan,"Software Engineer III - Postgres, ETL, Python, AWS","Software Engineer III - Postgres, ETL, Python, AWS","Asset & Wealth Management Posting Date 06/01/2026, 02",s Prima Bay Tower A Lower,on 06,,Full Time,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210751058,"Formal training or certification on software engineering concepts and 3+ years applied experience, Bachelor's degree in information systems, information technology, computer science, or similar., Expertise in Structured Query Language (SQL), with strong Experience with AWS Cloud services/technologies, such as RDS, S3, Lambda, Secrets Manager, Strong Experience in Python, Pandas/Polars, and Numpy, and clear understanding of OOP and software design constructs within a Python context, Strong Experience in all aspects of software development lifecycle, especially Agile Scrum, along with experience in implementing and monitoring ETL processes, Strong Experience with database technologies, architecture, performance tuning, and scaling, Strong Experience in database design and modeling, experience with Airflow or similar orchestration tools, Experience working with Data Lakes (Iceberg/Delta Table) and experience working with Spark and EMR, Experience working with CI/CD tools for application and database development, Excellent communication (written and oral) and presentation skills, with agility: able to shift gears and react quickly to timely requests",We have an exciting and rewarding opportunity for you to take your software engineering career to the next level.
JPMorgan,Legal Entity Risk Reporting Analyst,Legal Entity Risk Reporting Analyst,"Corporate Sector Posting Date 06/01/2026, 03","s Parcel 9, Embassy Tech Village, Outer Ring Road, Deverabeesanhalli Village, Varthur Hobli, Bengaluru, IN-KA, 560103, IN Job Schedule Full time Job Shift Mid-Day JOB DESCRIPTION Are you looking for an exciting opportunity to join a dynamic and growing team in a fast paced and challenging area",on 06,,Full Time,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210751330,"Ability to improve current processes and achieve efficiencies, Team player who can interact at ease with colleagues of various levels. Bachelor’s degree required.","Are you looking for an exciting opportunity to join a dynamic and growing team in a fast paced and challenging area? This is a unique opportunity for you to work in our team to partner with the Business to provide a comprehensive view. As a Legal Entity Risk Reporting Analyst within the Market Risk team, you will understand key risk measures such as Greeks, PVBP, VaR, Stress Testing, and Drawdown, and explain material risk moves"
